,0,1,2,3,4,5,6
362,1,11.35,243,Deteccion de terremotos,1,20.0,0
363,1,11.35,272,Deteccion de terremotos,1,20.0,0
364,1,11.35,276,Deteccion de terremotos,1,20.0,0
365,1,11.35,284,Deteccion de terremotos,1,20.0,0
366,1,11.35,289,Deteccion de terremotos,1,20.0,0
367,1,11.35,293,Deteccion de terremotos,1,20.0,0
368,1,11.35,300,Deteccion de terremotos,1,20.0,0
369,1,11.35,301,Deteccion de terremotos,1,20.0,0
370,1,11.35,303,Deteccion de terremotos,1,20.0,0
371,1,11.35,308,Deteccion de terremotos,1,20.0,0
372,1,11.35,312,Deteccion de terremotos,1,20.0,0
373,1,11.35,316,Deteccion de terremotos,1,20.0,0
374,1,11.35,318,Deteccion de terremotos,1,20.0,0
375,1,11.35,327,Deteccion de terremotos,1,20.0,0
376,1,11.35,329,Deteccion de terremotos,1,20.0,0
377,1,11.35,333,Deteccion de terremotos,1,20.0,0
378,1,11.35,334,Deteccion de terremotos,1,20.0,0
379,1,11.35,335,Deteccion de terremotos,1,20.0,0
380,1,11.35,340,Deteccion de terremotos,1,20.0,0
381,1,11.35,343,Deteccion de terremotos,1,20.0,0
382,1,11.35,349,Deteccion de terremotos,1,20.0,0
383,1,11.35,350,Deteccion de terremotos,1,20.0,0
384,1,11.35,359,Deteccion de terremotos,1,20.0,0
385,1,11.35,361,Deteccion de terremotos,1,20.0,0
386,1,11.35,373,Deteccion de terremotos,1,20.0,0
387,1,11.35,391,Deteccion de terremotos,1,20.0,0
388,1,11.35,399,Deteccion de terremotos,1,20.0,0
389,1,11.35,402,Deteccion de terremotos,1,20.0,0
390,1,11.35,413,Deteccion de terremotos,1,20.0,0
391,1,11.35,415,Deteccion de terremotos,1,20.0,0
392,1,11.35,416,Deteccion de terremotos,1,20.0,0
393,1,11.35,417,Deteccion de terremotos,1,20.0,0
394,1,11.35,421,Deteccion de terremotos,1,20.0,0
395,1,11.35,423,Deteccion de terremotos,1,20.0,0
396,1,11.35,434,Deteccion de terremotos,1,20.0,0
397,1,11.35,436,Deteccion de terremotos,1,20.0,0
398,1,11.35,453,Deteccion de terremotos,1,20.0,0
399,1,11.35,454,Deteccion de terremotos,1,20.0,0
400,1,11.35,455,Deteccion de terremotos,1,20.0,0
401,1,11.35,470,Deteccion de terremotos,1,20.0,0
402,1,11.35,492,Deteccion de terremotos,1,20.0,0
403,1,11.35,500,Deteccion de terremotos,1,20.0,0
404,1,11.35,508,Deteccion de terremotos,1,20.0,0
405,1,11.35,510,Deteccion de terremotos,1,20.0,0
406,1,11.35,512,Deteccion de terremotos,1,20.0,0
407,1,11.35,518,Deteccion de terremotos,1,20.0,0
408,1,11.35,519,Deteccion de terremotos,1,20.0,0
